,title,author,year
0,The Blazing World,  Margaret Cavendish ,1666
1,Frankenstein,  Mary Shelley ,1818
2,Foundation,  Isaac Asimov ,1951
3,The Stars My Destination,  Alfred Bester ,1957
4,Solaris,  Stanislaw Lem ,1961
5,Dune,  Frank Herbert ,1965
6,The Moon is a Harsh Mistress,  Robert Heinlein ,1966
7,Ice,  Anna Kavan ,1967
8,The Left Hand of Darkness,  Ursula K. Le Guin ,1969
9,A Scanner Darkly,  Philip K Dick ,1977
10,Kindred,  Octavia E. Butler ,1979
11,Neuromancer,  William Gibson ,1984
12,Consider Phlebas,  Iain Banks ,1987
13,Hyperion,  Dan Simmons ,1989
14,Jurassic Park,  Michael Crichton ,1990
15,Snow Crash,  Neal Stephenson ,1992
16,Vurt,  Jeff Noon ,1993
17,Under The Skin,  Michel Faber ,2000
18,Metro 2033,  Dmitry Glukhovsky ,2002
19,Oryx and Crake,  Margaret Atwood ,2003
20,The Three-Body Problem, Liu Cixin ,2008
21,Children of Time,  Adrian Tchaikovsky ,2015
22,The Martian,  Andy Weir ,2015
23,The Heart Goes Last,  Margaret Atwood ,2015
24,The Power,  Naomi Alderman ,2016
25,Borne,  Jeff VanderMeer ,2017
26,Moonrise: The Golden Age of Lunar Adventures,  Mike Ashley ,2018
27,Exhalation,  Ted Chiang ,2019
28,The Resisters,  Gish Jen ,2020
